epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,4860.14,0.44376,0.26485,0.00635,0.3109,0.88457,0.94782,0.94488,0.97446,0.77401,0.92743,0.91339,0.9406,0.90813,0.82767,0.726,0.02707,0.43286,1.15855,0.00171609,0.00171609,0.00171609
28,5040.55,0.41913,0.25669,0.00623,0.30067,0.87386,0.95433,0.93701,0.97157,0.77015,0.92704,0.91076,0.94108,0.90249,0.80793,0.80397,0.03474,0.4072,1.14352,0.00169518,0.00169518,0.00169518
29,5217.6,0.4053,0.22727,0.00485,0.29135,0.86571,0.95493,0.93701,0.97609,0.75563,0.91493,0.90326,0.92645,0.88954,0.82898,0.8142,0.02997,0.42917,1.18967,0.00167368,0.00167368,0.00167368
30,5394.7,0.38287,0.20066,0.00296,0.27695,0.85451,0.95752,0.94649,0.97314,0.76287,0.92046,0.90289,0.93827,0.90544,0.83375,0.72226,0.02929,0.41265,1.17881,0.00165162,0.00165162,0.00165162
31,5570.64,0.36805,0.16206,0.00264,0.26673,0.84782,0.95612,0.94751,0.97468,0.78099,0.92332,0.91339,0.94169,0.91362,0.79667,0.75588,0.0306,0.4105,1.1426,0.00162901,0.00162901,0.00162901
32,5754.94,0.35917,0.16476,0.00191,0.26343,0.84347,0.9701,0.93666,0.97607,0.78384,0.94594,0.90289,0.93895,0.91211,0.78403,0.69603,0.03085,0.39614,1.14321,0.00160588,0.00160588,0.00160588
33,5934.77,0.34865,0.16085,0.0039,0.25642,0.83921,0.95949,0.95013,0.97458,0.779,0.93022,0.92126,0.94245,0.91129,0.80026,0.67172,0.02107,0.40104,1.14902,0.00158224,0.00158224,0.00158224
34,6111.25,0.33702,0.16658,0.00383,0.25255,0.83405,0.95306,0.94751,0.97456,0.78267,0.9381,0.91484,0.94864,0.92067,0.79671,0.63787,0.02722,0.39074,1.15247,0.00155814,0.00155814,0.00155814
35,6290.04,0.33071,0.1699,0.00412,0.24843,0.83272,0.94994,0.94751,0.97332,0.76915,0.92999,0.90653,0.92087,0.89315,0.80693,0.80223,0.03453,0.40637,1.18607,0.00153358,0.00153358,0.00153358
36,6467.57,0.3166,0.16635,0.00394,0.23801,0.82634,0.94996,0.94661,0.96981,0.77364,0.92387,0.90289,0.93496,0.90223,0.80129,0.72872,0.02665,0.39949,1.17516,0.00150859,0.00150859,0.00150859
37,6645.4,0.3135,0.15431,0.00372,0.23766,0.82625,0.97565,0.9463,0.97319,0.78154,0.93758,0.90682,0.94137,0.91283,0.78973,0.70744,0.04101,0.41066,1.15118,0.0014832,0.0014832,0.0014832
38,6821.96,0.30634,0.15319,0.00357,0.23345,0.82387,0.95051,0.93438,0.97322,0.77258,0.92548,0.90289,0.93631,0.90944,0.81274,0.75831,0.0331,0.40347,1.18096,0.00145743,0.00145743,0.00145743
39,6998.38,0.29574,0.11958,0.00175,0.22341,0.81904,0.96363,0.93701,0.97578,0.78711,0.93665,0.91339,0.93947,0.91076,0.77561,0.67205,0.02993,0.40073,1.1625,0.00143131,0.00143131,0.00143131
40,7175.25,0.284,0.10338,0.00144,0.21935,0.81528,0.96651,0.94488,0.97526,0.7825,0.96196,0.94226,0.96629,0.93336,0.78045,0.60778,0.02715,0.39195,1.15646,0.00140486,0.00140486,0.00140486
41,7356.22,0.27341,0.10846,0.00235,0.21279,0.81231,0.95239,0.94504,0.97436,0.78259,0.93387,0.92667,0.94641,0.91282,0.78642,0.63566,0.03404,0.3895,1.16722,0.00137812,0.00137812,0.00137812
42,7532.63,0.26025,0.09849,0.00163,0.20519,0.80805,0.94285,0.95262,0.97508,0.78742,0.92671,0.91076,0.94916,0.92119,0.78797,0.65181,0.04183,0.40478,1.16968,0.00135109,0.00135109,0.00135109
43,7709.38,0.25227,0.09628,0.00255,0.19842,0.80549,0.95069,0.95801,0.97876,0.79106,0.94323,0.91339,0.94842,0.91875,0.77011,0.651,0.03978,0.38472,1.15722,0.00132382,0.00132382,0.00132382
44,7886.93,0.25093,0.08163,0.00176,0.19658,0.80248,0.95826,0.94488,0.97557,0.78845,0.93578,0.91339,0.94294,0.91293,0.76961,0.68642,0.03799,0.39719,1.15637,0.00129633,0.00129633,0.00129633
45,8064.43,0.24539,0.09262,0.0015,0.19462,0.80329,0.95785,0.95427,0.97812,0.78968,0.93321,0.91684,0.94472,0.91572,0.77138,0.70594,0.03975,0.38137,1.16558,0.00126864,0.00126864,0.00126864
46,8241.53,0.23709,0.09542,0.00236,0.1895,0.80197,0.97847,0.94226,0.97846,0.79324,0.95073,0.91601,0.9544,0.92675,0.76939,0.64454,0.04131,0.39185,1.16348,0.00124079,0.00124079,0.00124079
47,8420.9,0.22525,0.08399,0.00224,0.18202,0.79747,0.96441,0.95276,0.97668,0.78636,0.92987,0.91864,0.94245,0.91566,0.76736,0.66059,0.03683,0.39439,1.16058,0.0012128,0.0012128,0.0012128
48,8596.78,0.22269,0.07365,0.00159,0.17969,0.79724,0.9507,0.95801,0.98008,0.78161,0.9328,0.91601,0.93723,0.9088,0.76661,0.67473,0.04366,0.38742,1.17073,0.0011847,0.0011847,0.0011847
49,8773.56,0.21463,0.06516,0.0013,0.17376,0.79349,0.9551,0.94917,0.97957,0.79859,0.919,0.93176,0.9488,0.92346,0.76064,0.62723,0.03821,0.38978,1.17261,0.00115651,0.00115651,0.00115651
50,8953.82,0.21209,0.07827,0.00183,0.17349,0.79429,0.95764,0.94949,0.97795,0.78673,0.93382,0.92587,0.94622,0.91833,0.76346,0.66662,0.03898,0.39235,1.16238,0.00112827,0.00112827,0.00112827
