epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,6240.77,0.50509,0.44274,0.00858,0.35439,0.93231,0.95098,0.90957,0.96331,0.76615,0.93578,0.89391,0.93729,0.88231,0.7848,0.69676,0.02231,0.48574,1.15126,0.00858046,0.00858046,0.00858046
28,6471.45,0.49646,0.43284,0.00789,0.35036,0.92759,0.95613,0.9286,0.97038,0.78607,0.92815,0.89857,0.9331,0.89172,0.75455,0.70074,0.01796,0.46674,1.12525,0.0084759,0.0084759,0.0084759
29,6702.39,0.47496,0.39607,0.0078,0.33698,0.9147,0.94648,0.90696,0.96512,0.77913,0.93022,0.89258,0.93839,0.88796,0.7515,0.64236,0.02117,0.47205,1.11475,0.00836841,0.00836841,0.00836841
30,6932.6,0.46653,0.37311,0.00654,0.33024,0.90757,0.95162,0.91304,0.96394,0.79334,0.92382,0.89628,0.93619,0.89263,0.7251,0.6521,0.01574,0.46016,1.10746,0.00825808,0.00825808,0.00825808
31,7165.64,0.45061,0.32854,0.00548,0.3174,0.89772,0.95742,0.92783,0.97098,0.79298,0.92813,0.90783,0.94487,0.89859,0.71926,0.6147,0.01638,0.44532,1.11772,0.00814503,0.00814503,0.00814503
32,7395.42,0.44119,0.32155,0.00623,0.31781,0.89286,0.9544,0.92819,0.96867,0.79047,0.93195,0.91043,0.9383,0.89094,0.73883,0.63507,0.0139,0.44794,1.12239,0.00802938,0.00802938,0.00802938
33,7626.07,0.42648,0.29531,0.0052,0.3005,0.88407,0.95114,0.9313,0.97215,0.80039,0.92816,0.90995,0.94222,0.90287,0.71094,0.65167,0.01721,0.43366,1.11367,0.00791122,0.00791122,0.00791122
34,7856.26,0.41274,0.29469,0.00658,0.29787,0.87807,0.95525,0.92801,0.97297,0.80031,0.93378,0.90737,0.94581,0.90088,0.71226,0.63844,0.01454,0.4293,1.10575,0.00779069,0.00779069,0.00779069
35,8085.48,0.40761,0.27487,0.00468,0.29078,0.87489,0.95697,0.92783,0.973,0.80306,0.94044,0.90616,0.93989,0.89967,0.68945,0.61398,0.01569,0.42304,1.08318,0.00766789,0.00766789,0.00766789
36,8315.98,0.39371,0.27194,0.00449,0.28468,0.86828,0.96226,0.93114,0.97505,0.81255,0.94664,0.9087,0.94759,0.90852,0.69872,0.61373,0.01546,0.41453,1.10331,0.00754296,0.00754296,0.00754296
37,8545.57,0.38572,0.25644,0.00435,0.27866,0.86293,0.95435,0.92714,0.97079,0.80315,0.9305,0.90806,0.9433,0.90261,0.69166,0.60655,0.01481,0.42768,1.09408,0.00741601,0.00741601,0.00741601
